"",16.000
16183.0000,-1.3261E+01
16183.1667,-1.7755E+01
16183.3333,-8.9417E-01
16183.5000,-1.4698E+00
16183.6667,-2.0682E+00
16183.8333,-1.6583E+00
16184.0000,-1.1852E+01
16184.1667,-1.2811E+01
16184.3333,-1.7624E+00
16184.5000,-6.2353E-01
16184.6667,3.2853E-02
16184.8333,-1.1563E+01
16185.0000,-1.7811E+01
16185.1667,-2.2147E+01
16185.3333,-3.6301E+00
16185.5000,-5.1189E-01
16185.6667,-1.0829E+01
16185.8333,-1.6321E+01
16186.0000,-1.4417E+01
16186.1667,-1.5515E+01
16186.3333,-1.0998E+01
16186.5000,-5.4661E+00
16186.6667,-2.6739E+00
16186.8333,-1.8091E+01
16187.0000,-2.4313E+01
16187.1667,-3.3957E+01
16187.3333,-2.8533E+01
16187.5000,-2.1477E+01
16187.6667,-2.3739E+01
16187.8333,-2.4557E+01
16188.0000,-3.0363E+01
16188.1667,-2.9115E+01
16188.3333,-2.9387E+01
16188.5000,-2.5838E+01
16188.6667,-2.7744E+01
16188.8333,-3.4764E+01
16189.0000,-3.2046E+01
16189.1667,-2.9843E+01
16189.3333,-2.2287E+01
16189.5000,-1.1777E+01
16189.6667,-8.4857E+00
16189.8333,-1.7212E+01
16190.0000,-2.3337E+01
16190.1667,-2.2041E+01
16190.3333,-1.4995E+01
16190.5000,-1.4951E+01
16190.6667,-1.4840E+01
16190.8333,-1.7247E+01
16191.0000,-1.7779E+01
16191.1667,-1.9165E+01
16191.3333,-8.6906E+00
16191.5000,-1.1118E+01
16191.6667,-1.0211E+01
16191.8333,-1.2943E+01
16192.0000,-1.7983E+01
16192.1667,-2.0270E+01
16192.3333,-1.8929E+01
16192.5000,-1.3865E+01
16192.6667,-1.1804E+01
16192.8333,-1.4166E+01
16193.0000,-1.4809E+01
16193.1667,-1.7380E+01
16193.3333,-2.7557E+01
16193.5000,-2.6283E+01
16193.6667,-2.6997E+01
16193.8333,-3.0343E+01
16194.0000,-2.9649E+01
16194.1667,-3.0612E+01
16194.3333,-2.1836E+01
16194.5000,-6.6358E+00
16194.6667,-4.4326E+00
16194.8333,-2.0577E+01
16195.0000,-3.6427E+01
16195.1667,-4.2406E+01
16195.3333,-1.3186E+01
16195.5000,-6.8302E+00
16195.6667,-2.5927E+00
16195.8333,-1.2668E+01
16196.0000,-2.0964E+01
16196.1667,-2.5115E+01
16196.3333,-2.0464E+00
16196.5000,-4.5719E+00
16196.6667,6.0038E+00
16196.8333,1.1029E+00
16197.0000,-7.7666E+00
16197.1667,-1.1147E+01
16197.3333,-7.5815E+00
16197.5000,-1.5871E+00
16197.6667,-3.6723E+00
16197.8333,-7.3553E+00
16198.0000,-1.8813E+01
16198.1667,-2.0438E+01
16198.3333,-4.9461E+00
16198.5000,-2.2428E+00
16198.6667,7.0585E-01
16198.8333,-5.9302E+00
