"",16.000
16182.5000,-3.8809E+02
16182.6667,-3.8739E+02
16182.8333,-3.7934E+02
16183.0000,-3.7630E+02
16183.1667,-3.7497E+02
16183.3333,-3.7960E+02
16183.5000,-4.0403E+02
16183.6667,-4.1239E+02
16183.8333,-3.8905E+02
16184.0000,-3.8188E+02
16184.1667,-3.7956E+02
16184.3333,-3.8527E+02
16184.5000,-4.0871E+02
16184.6667,-4.1247E+02
16184.8333,-3.9778E+02
16185.0000,-3.8837E+02
16185.1667,-3.8492E+02
16185.3333,-3.8735E+02
16185.5000,-4.1237E+02
16185.6667,-4.0284E+02
16185.8333,-3.9415E+02
16186.0000,-3.9070E+02
16186.1667,-3.8857E+02
16186.3333,-3.8798E+02
16186.5000,-3.9188E+02
16186.6667,-3.9641E+02
16186.8333,-3.9017E+02
16187.0000,-3.8839E+02
16187.1667,-3.8660E+02
16187.3333,-3.8552E+02
16187.5000,-3.8797E+02
16187.6667,-3.8715E+02
16187.8333,-3.8599E+02
16188.0000,-3.8484E+02
16188.1667,-3.8378E+02
16188.3333,-3.8308E+02
16188.5000,-3.8332E+02
16188.6667,-3.8302E+02
16188.8333,-3.8215E+02
16189.0000,-3.8128E+02
16189.1667,-3.8048E+02
16189.3333,-3.8009E+02
16189.5000,-3.8352E+02
16189.6667,-3.8269E+02
16189.8333,-3.8132E+02
16190.0000,-3.8051E+02
16190.1667,-3.7985E+02
16190.3333,-3.7957E+02
16190.5000,-3.8052E+02
16190.6667,-3.8097E+02
16190.8333,-3.8003E+02
16191.0000,-3.7946E+02
16191.1667,-3.7895E+02
16191.3333,-3.7977E+02
16191.5000,-3.9958E+02
16191.6667,-3.9098E+02
16191.8333,-3.8456E+02
16192.0000,-3.8167E+02
16192.1667,-3.8049E+02
16192.3333,-3.7999E+02
16192.5000,-3.8023E+02
16192.6667,-3.8050E+02
16192.8333,-3.7999E+02
16193.0000,-3.7953E+02
16193.1667,-3.7897E+02
16193.3333,-3.7842E+02
16193.5000,-3.7805E+02
16193.6667,-3.7754E+02
16193.8333,-3.7683E+02
16194.0000,-3.7607E+02
16194.1667,-3.7503E+02
16194.3333,-3.7509E+02
16194.5000,-3.7607E+02
16194.6667,-3.7657E+02
16194.8333,-3.7559E+02
16195.0000,-3.7455E+02
16195.1667,-3.7369E+02
16195.3333,-3.7795E+02
16195.5000,-4.0389E+02
16195.6667,-4.0687E+02
16195.8333,-3.9072E+02
16196.0000,-3.8306E+02
16196.1667,-3.7983E+02
16196.3333,-3.8615E+02
16196.5000,-4.1173E+02
16196.6667,-3.9007E+02
16196.8333,-3.8582E+02
16197.0000,-3.8376E+02
16197.1667,-3.8201E+02
16197.3333,-3.8097E+02
16197.5000,-3.8188E+02
16197.6667,-3.8435E+02
16197.8333,-3.8282E+02
16198.0000,-3.8143E+02
16198.1667,-3.8031E+02
16198.3333,-3.8536E+02
16198.5000,-3.9913E+02
16198.6667,-4.0368E+02
16198.8333,-3.9317E+02
16199.0000,-3.8849E+02
16199.1667,-3.8572E+02
16199.3333,-3.9055E+02
16199.5000,-3.9666E+02
16199.6667,-3.9635E+02
16199.8333,-3.9352E+02
16200.0000,-3.9126E+02
16200.1667,-3.8932E+02
16200.3333,-3.9186E+02
16200.5000,-4.1512E+02
16200.6667,-4.0700E+02
16200.8333,-4.0107E+02
16201.0000,-3.9565E+02
16201.1667,-3.9304E+02
16201.3333,-3.9187E+02
16201.5000,-3.9522E+02
16201.6667,-3.9492E+02
16201.8333,-3.9320E+02
16202.0000,-3.9127E+02
16202.1667,-3.8964E+02
16202.3333,-3.8896E+02
16202.5000,-3.9406E+02
16202.6667,-3.9373E+02
16202.8333,-3.9149E+02
16203.0000,-3.9001E+02
16203.1667,-3.8885E+02
16203.3333,-3.8819E+02
16203.5000,-3.9147E+02
16203.6667,-3.9098E+02
16203.8333,-3.8969E+02
16204.0000,-3.8855E+02
16204.1667,-3.8753E+02
16204.3333,-3.8673E+02
16204.5000,-3.8695E+02
16204.6667,-3.8718E+02
16204.8333,-3.8635E+02
16205.0000,-3.8541E+02
16205.1667,-3.8438E+02
16205.3333,-3.8376E+02
16205.5000,-3.8404E+02
16205.6667,-3.8444E+02
16205.8333,-3.8368E+02
16206.0000,-3.8262E+02
16206.1667,-3.8141E+02
16206.3333,-3.8220E+02
16206.5000,-3.8378E+02
16206.6667,-3.8663E+02
16206.8333,-3.8452E+02
16207.0000,-3.8312E+02
16207.1667,-3.8191E+02
16207.3333,-3.8371E+02
16207.5000,-3.9295E+02
16207.6667,-3.9039E+02
16207.8333,-3.8808E+02
16208.0000,-3.8540E+02
16208.1667,-3.8344E+02
16208.3333,-3.8323E+02
16208.5000,-3.8356E+02
16208.6667,-3.8403E+02
16208.8333,-3.8428E+02
16209.0000,-3.8426E+02
16209.1667,-3.8427E+02
16209.3333,-3.8460E+02
16209.5000,-3.8510E+02
16209.6667,-3.8557E+02
16209.8333,-3.8502E+02
16210.0000,-3.8437E+02
16210.1667,-3.8344E+02
16210.3333,-3.8993E+02
16210.5000,-4.1044E+02
16210.6667,-4.0356E+02
16210.8333,-3.9404E+02
16211.0000,-3.8872E+02
16211.1667,-3.8674E+02
16211.3333,-3.9939E+02
16211.5000,-4.3487E+02
16211.6667,-4.0636E+02
16211.8333,-3.9671E+02
16212.0000,-3.9409E+02
16212.1667,-3.9276E+02
16212.3333,-3.9730E+02
