"",16.000
16185.1667,3.3276E+02
16185.3333,3.5852E+02
16185.5000,3.8885E+02
16185.6667,3.6833E+02
16185.8333,3.4956E+02
16186.0000,3.4810E+02
16186.1667,3.4724E+02
16186.3333,3.5262E+02
16186.5000,3.6377E+02
16186.6667,3.7299E+02
16186.8333,3.4553E+02
16187.0000,3.3746E+02
16187.1667,3.2718E+02
16187.3333,3.3068E+02
16187.5000,3.3857E+02
16187.6667,3.3587E+02
16187.8333,3.3389E+02
16188.0000,3.2863E+02
16188.1667,3.2695E+02
16188.3333,3.2552E+02
16188.5000,3.3014E+02
16188.6667,3.2756E+02
16188.8333,3.1991E+02
16189.0000,3.2190E+02
16189.1667,3.2307E+02
16189.3333,3.2995E+02
16189.5000,3.4572E+02
16189.6667,3.4950E+02
16189.8333,3.3763E+02
16190.0000,3.2987E+02
16190.1667,3.2371E+02
16190.3333,3.3265E+02
16190.5000,3.3291E+02
16190.6667,3.3255E+02
16190.8333,3.2954E+02
16191.0000,3.2867E+02
16191.1667,3.3349E+02
16191.3333,3.4693E+02
16191.5000,3.6355E+02
16191.6667,3.5574E+02
16191.8333,3.4656E+02
16192.0000,3.3827E+02
16192.1667,3.3408E+02
16192.3333,3.3494E+02
16192.5000,3.4089E+02
16192.6667,3.4382E+02
16192.8333,3.4065E+02
16193.0000,3.3962E+02
16193.1667,3.2341E+02
16193.3333,3.1644E+02
16193.5000,3.1523E+02
16193.6667,3.1207E+02
16193.8333,3.0747E+02
16194.0000,3.0612E+02
16194.1667,2.5258E+02
16194.3333,2.6073E+02
16194.5000,2.7212E+02
16194.6667,2.7138E+02
16194.8333,2.5952E+02
16195.0000,2.4799E+02
16195.1667,2.8369E+02
16195.3333,3.1409E+02
16195.5000,3.4626E+02
16195.6667,3.5492E+02
16195.8333,3.2973E+02
16196.0000,3.1257E+02
16196.1667,3.1130E+02
16196.3333,3.4499E+02
16196.5000,3.6408E+02
16196.6667,3.5806E+02
16196.8333,3.4912E+02
16197.0000,3.3578E+02
16197.1667,3.0303E+02
16197.3333,3.0840E+02
16197.5000,3.1715E+02
16197.6667,3.0751E+02
16197.8333,2.9994E+02
16198.0000,2.9240E+02
16198.1667,3.0286E+02
16198.3333,3.2299E+02
16198.5000,3.3862E+02
16198.6667,3.4286E+02
16198.8333,3.2959E+02
16199.0000,3.2575E+02
16199.1667,3.1956E+02
16199.3333,3.3880E+02
16199.5000,3.5079E+02
16199.6667,3.4516E+02
16199.8333,3.3437E+02
16200.0000,3.2539E+02
16200.1667,3.1967E+02
16200.3333,3.5159E+02
16200.5000,3.7172E+02
16200.6667,3.6794E+02
16200.8333,3.5701E+02
16201.0000,3.4363E+02
16201.1667,3.3789E+02
16201.3333,3.2639E+02
16201.5000,3.5120E+02
16201.6667,3.2312E+02
16201.8333,3.1121E+02
16202.0000,3.1119E+02
16202.1667,3.0951E+02
16202.3333,3.2074E+02
16202.5000,3.3497E+02
16202.6667,3.3406E+02
16202.8333,3.1448E+02
16203.0000,3.1120E+02
16203.1667,3.1968E+02
16203.3333,3.1982E+02
16203.5000,3.1979E+02
16203.6667,3.1532E+02
16203.8333,3.2110E+02
16204.0000,3.1977E+02
16204.1667,3.2132E+02
16204.3333,3.1486E+02
16204.5000,3.2664E+02
16204.6667,3.2240E+02
16204.8333,3.1704E+02
16205.0000,3.1703E+02
16205.1667,2.9144E+02
16205.3333,2.9536E+02
16205.5000,2.9752E+02
16205.6667,3.0242E+02
16205.8333,2.9435E+02
16206.0000,2.9201E+02
16206.1667,2.7629E+02
16206.3333,2.9873E+02
16206.5000,3.0381E+02
16206.6667,3.0315E+02
16206.8333,2.9480E+02
16207.0000,2.8334E+02
16207.1667,2.5562E+02
16207.3333,2.7749E+02
16207.5000,2.8190E+02
16207.6667,2.8273E+02
16207.8333,2.7082E+02
16208.0000,2.5781E+02
16208.1667,2.6841E+02
16208.3333,2.9564E+02
16208.5000,3.1440E+02
16208.6667,3.2686E+02
16208.8333,3.0442E+02
16209.0000,2.9238E+02
16209.1667,3.0316E+02
16209.3333,3.3356E+02
16209.5000,3.4102E+02
16209.6667,3.3736E+02
16209.8333,3.1943E+02
16210.0000,3.0495E+02
16210.1667,2.6947E+02
16210.3333,2.9930E+02
16210.5000,3.1623E+02
16210.6667,3.1757E+02
16210.8333,2.9494E+02
16211.0000,2.7956E+02
16211.1667,3.0094E+02
16211.3333,3.3949E+02
16211.5000,3.6016E+02
16211.6667,3.5706E+02
16211.8333,3.4565E+02
16212.0000,3.4518E+02
16212.1667,3.1505E+02
16212.3333,3.3404E+02
16212.5000,3.6865E+02
16212.6667,3.4174E+02
16212.8333,3.2104E+02
16213.0000,3.1002E+02
16213.1667,3.1599E+02
16213.3333,3.2278E+02
16213.5000,3.4921E+02
16213.6667,3.5479E+02
16213.8333,3.3105E+02
16214.0000,3.2794E+02
16214.1667,3.2095E+02
16214.3333,3.1582E+02
16214.5000,3.3495E+02
16214.6667,3.4205E+02
16214.8333,3.3398E+02
16215.0000,3.1988E+02
16215.1667,3.2695E+02
16215.3333,3.5702E+02
16215.5000,3.7874E+02
16215.6667,3.7865E+02
16215.8333,3.6113E+02
16216.0000,3.5499E+02
16216.1667,3.5535E+02
16216.3333,3.6907E+02
16216.5000,3.7412E+02
16216.6667,3.6949E+02
16216.8333,3.6175E+02
16217.0000,3.5358E+02
16217.1667,3.3890E+02
16217.3333,3.4157E+02
16217.5000,3.4571E+02
16217.6667,3.4843E+02
16217.8333,3.4320E+02
16218.0000,3.3761E+02
16218.1667,3.2332E+02
16218.3333,3.4271E+02
16218.5000,3.4423E+02
16218.6667,3.5256E+02
16218.8333,3.4404E+02
16219.0000,3.4045E+02
16219.1667,3.5251E+02
16219.3333,3.6835E+02
16219.5000,3.8313E+02
16219.6667,3.7973E+02
16219.8333,3.4920E+02
16220.0000,3.4905E+02
16220.1667,3.2656E+02
16220.3333,3.3387E+02
16220.5000,3.3921E+02
16220.6667,3.3421E+02
16220.8333,3.2899E+02
16221.0000,3.1591E+02
16221.1667,2.7166E+02
16221.3333,2.7574E+02
16221.5000,2.9213E+02
16221.6667,2.9292E+02
16221.8333,2.8247E+02
16222.0000,2.6969E+02
16222.1667,3.1192E+02
16222.3333,3.4152E+02
16222.5000,3.6386E+02
16222.6667,3.6732E+02
16222.8333,3.5041E+02
16223.0000,3.3229E+02
16223.1667,3.2784E+02
16223.3333,3.4976E+02
16223.5000,3.6367E+02
16223.6667,3.5781E+02
16223.8333,3.3665E+02
16224.0000,3.3264E+02
16224.1667,3.3680E+02
16224.3333,3.5737E+02
16224.5000,3.7724E+02
16224.6667,3.7454E+02
16224.8333,3.4991E+02
16225.0000,3.3670E+02
16225.1667,2.9757E+02
16225.3333,3.1686E+02
16225.5000,3.2791E+02
16225.6667,3.1876E+02
16225.8333,3.0647E+02
16226.0000,2.9926E+02
16226.1667,2.9282E+02
16226.3333,2.9595E+02
16226.5000,3.1197E+02
16226.6667,3.1777E+02
16226.8333,3.0084E+02
16227.0000,2.9268E+02
16227.1667,2.9034E+02
16227.3333,3.2468E+02
16227.5000,3.4716E+02
16227.6667,3.4720E+02
16227.8333,3.2768E+02
16228.0000,3.1109E+02
16228.1667,2.9532E+02
16228.3333,3.2427E+02
16228.5000,3.5101E+02
16228.6667,3.5154E+02
16228.8333,3.3172E+02
16229.0000,3.1220E+02
16229.1667,3.1627E+02
16229.3333,3.5045E+02
16229.5000,3.7599E+02
16229.6667,3.7563E+02
16229.8333,3.4707E+02
16230.0000,3.3401E+02
16230.1667,3.1888E+02
16230.3333,3.4581E+02
16230.5000,3.7636E+02
16230.6667,3.7563E+02
16230.8333,3.2954E+02
16231.0000,3.2756E+02
16231.1667,3.1005E+02
16231.3333,3.4740E+02
16231.5000,3.6010E+02
16231.6667,3.5915E+02
16231.8333,3.4275E+02
16232.0000,3.2060E+02
16232.1667,3.2614E+02
16232.3333,3.5713E+02
16232.5000,3.7474E+02
16232.6667,3.7623E+02
16232.8333,3.6358E+02
16233.0000,3.4371E+02
16233.1667,3.2742E+02
16233.3333,3.5333E+02
16233.5000,3.7237E+02
16233.6667,3.7063E+02
16233.8333,3.3015E+02
16234.0000,3.2172E+02
16234.1667,3.3762E+02
16234.3333,3.6261E+02
16234.5000,3.9098E+02
16234.6667,3.8861E+02
16234.8333,3.6037E+02
16235.0000,3.4786E+02
16235.1667,3.6072E+02
16235.3333,3.7104E+02
16235.5000,3.9002E+02
16235.6667,3.8261E+02
16235.8333,3.6790E+02
16236.0000,3.5366E+02
16236.1667,3.1279E+02
16236.3333,3.2543E+02
16236.5000,3.4040E+02
16236.6667,3.3935E+02
16236.8333,3.3213E+02
16237.0000,3.2084E+02
16237.1667,3.2266E+02
16237.3333,3.4366E+02
16237.5000,3.6328E+02
16237.6667,3.6660E+02
16237.8333,3.4889E+02
16238.0000,3.3444E+02
16238.1667,3.2951E+02
16238.3333,3.4721E+02
16238.5000,3.6719E+02
16238.6667,3.6604E+02
16238.8333,3.3945E+02
16239.0000,3.3786E+02
16239.1667,3.1431E+02
16239.3333,3.2276E+02
16239.5000,3.3815E+02
16239.6667,3.3146E+02
16239.8333,3.3026E+02
16240.0000,3.1935E+02
16240.1667,3.2316E+02
16240.3333,3.5009E+02
16240.5000,3.7104E+02
16240.6667,3.6959E+02
16240.8333,3.4453E+02
16241.0000,3.3816E+02
16241.1667,2.9296E+02
16241.3333,3.0889E+02
16241.5000,3.2095E+02
16241.6667,3.1302E+02
16241.8333,3.0365E+02
16242.0000,2.9709E+02
16242.1667,2.9598E+02
16242.3333,3.1506E+02
16242.5000,3.4169E+02
16242.6667,3.4382E+02
16242.8333,3.2316E+02
16243.0000,3.0760E+02
16243.1667,3.2660E+02
16243.3333,3.5456E+02
16243.5000,3.7718E+02
16243.6667,3.8756E+02
16243.8333,3.5159E+02
16244.0000,3.4334E+02
16244.1667,3.5324E+02
16244.3333,3.7986E+02
16244.5000,4.0008E+02
16244.6667,3.7646E+02
16244.8333,3.6986E+02
16245.0000,3.6378E+02
16245.1667,3.4779E+02
16245.3333,3.4302E+02
16245.5000,3.5170E+02
16245.6667,3.5933E+02
16245.8333,3.4970E+02
16246.0000,3.3615E+02
16246.1667,3.2805E+02
16246.3333,3.4945E+02
16246.5000,3.6673E+02
16246.6667,3.6380E+02
16246.8333,3.5283E+02
16247.0000,3.3730E+02
16247.1667,2.9688E+02
16247.3333,3.1562E+02
16247.5000,3.2989E+02
16247.6667,3.3307E+02
16247.8333,3.2170E+02
16248.0000,3.0659E+02
16248.1667,3.3498E+02
16248.3333,3.6578E+02
16248.5000,3.8147E+02
16248.6667,3.8293E+02
16248.8333,3.6456E+02
16249.0000,3.4759E+02
16249.1667,3.6563E+02
16249.3333,3.9271E+02
16249.5000,3.9940E+02
16249.6667,4.0517E+02
16249.8333,3.8928E+02
16250.0000,3.7512E+02
16250.1667,3.5833E+02
16250.3333,3.4788E+02
16250.5000,3.4953E+02
16250.6667,3.5183E+02
16250.8333,3.3524E+02
16251.0000,3.3203E+02
16251.1667,3.0758E+02
16251.3333,3.0859E+02
16251.5000,3.2063E+02
16251.6667,3.2164E+02
16251.8333,3.1531E+02
16252.0000,3.0006E+02
16252.1667,3.3494E+02
16252.3333,3.6470E+02
16252.5000,3.8683E+02
16252.6667,3.8850E+02
16252.8333,3.6871E+02
16253.0000,3.6072E+02
16253.1667,3.0486E+02
16253.3333,3.0886E+02
16253.5000,3.1088E+02
16253.6667,3.0876E+02
16253.8333,3.0258E+02
16254.0000,2.8956E+02
16254.1667,3.3785E+02
16254.3333,3.5897E+02
16254.5000,3.8692E+02
16254.6667,4.0477E+02
16254.8333,3.7296E+02
16255.0000,3.5773E+02
16255.1667,3.5043E+02
16255.3333,3.7147E+02
16255.5000,3.9682E+02
16255.6667,3.9898E+02
16255.8333,3.8449E+02
16256.0000,3.5735E+02
16256.1667,3.1806E+02
16256.3333,3.2524E+02
16256.5000,3.3826E+02
16256.6667,3.4454E+02
16256.8333,3.3334E+02
16257.0000,3.1641E+02
16257.1667,3.5933E+02
16257.3333,3.9467E+02
16257.5000,4.2418E+02
16257.6667,4.2913E+02
16257.8333,3.9010E+02
16258.0000,3.7503E+02
16258.1667,3.7590E+02
16258.3333,3.8298E+02
16258.5000,3.9930E+02
16258.6667,3.9542E+02
16258.8333,3.8121E+02
16259.0000,3.7267E+02
16259.1667,3.6579E+02
16259.3333,3.6442E+02
16259.5000,3.6020E+02
16259.6667,3.5453E+02
16259.8333,3.5139E+02
16260.0000,3.5045E+02
16260.1667,3.5078E+02
16260.3333,3.5233E+02
16260.5000,3.6034E+02
16260.6667,3.5753E+02
16260.8333,3.4607E+02
16261.0000,3.4432E+02
16261.1667,3.4049E+02
16261.3333,3.4852E+02
16261.5000,3.5247E+02
16261.6667,3.5586E+02
16261.8333,3.5502E+02
16262.0000,3.5689E+02
16262.1667,3.5115E+02
16262.3333,3.5712E+02
16262.5000,3.6601E+02
16262.6667,3.6743E+02
16262.8333,3.6405E+02
16263.0000,3.5901E+02
16263.1667,3.5373E+02
16263.3333,3.5845E+02
16263.5000,3.7876E+02
16263.6667,3.7324E+02
16263.8333,3.5568E+02
16264.0000,3.5255E+02
16264.1667,3.4662E+02
16264.3333,3.5431E+02
16264.5000,3.6786E+02
16264.6667,3.7216E+02
16264.8333,3.5576E+02
16265.0000,3.5444E+02
16265.1667,3.4283E+02
16265.3333,3.5388E+02
16265.5000,3.5382E+02
16265.6667,3.4525E+02
16265.8333,3.4730E+02
16266.0000,3.4472E+02
16266.1667,3.0921E+02
16266.3333,3.1920E+02
16266.5000,3.2998E+02
16266.6667,3.2878E+02
16266.8333,3.1846E+02
16267.0000,3.0118E+02
16267.1667,2.9392E+02
16267.3333,3.2118E+02
16267.5000,3.3739E+02
16267.6667,3.4787E+02
16267.8333,3.2255E+02
16268.0000,3.1058E+02
16268.1667,3.0604E+02
16268.3333,3.3087E+02
16268.5000,3.5307E+02
16268.6667,3.4611E+02
16268.8333,3.2819E+02
16269.0000,3.0706E+02
16269.1667,3.1520E+02
16269.3333,3.4368E+02
16269.5000,3.7928E+02
16269.6667,3.6825E+02
16269.8333,3.4203E+02
16270.0000,3.2547E+02
16270.1667,3.5770E+02
16270.3333,3.9515E+02
16270.5000,4.3098E+02
16270.6667,4.3129E+02
16270.8333,4.0333E+02
16271.0000,3.8878E+02
16271.1667,3.8589E+02
16271.3333,4.1957E+02
16271.5000,4.0558E+02
16271.6667,4.0230E+02
16271.8333,3.7757E+02
16272.0000,3.6538E+02
16272.1667,3.6561E+02
16272.3333,3.7845E+02
16272.5000,3.8892E+02
16272.6667,3.7238E+02
16272.8333,3.7151E+02
16273.0000,3.6998E+02
16273.1667,3.6934E+02
16273.3333,3.7466E+02
16273.5000,3.7773E+02
16273.6667,3.7894E+02
16273.8333,3.7634E+02
16274.0000,3.7583E+02
16274.1667,3.4705E+02
16274.3333,3.5721E+02
16274.5000,3.6870E+02
16274.6667,3.7011E+02
16274.8333,3.5572E+02
16275.0000,3.4064E+02
16275.1667,3.2455E+02
16275.3333,3.3236E+02
16275.5000,3.4585E+02
16275.6667,3.4935E+02
16275.8333,3.3013E+02
16276.0000,3.1841E+02
16276.1667,3.6015E+02
16276.3333,3.9394E+02
16276.5000,4.2044E+02
16276.6667,4.1804E+02
16276.8333,3.8133E+02
16277.0000,3.7479E+02
16277.1667,3.6703E+02
16277.3333,3.7387E+02
16277.5000,3.7098E+02
16277.6667,3.7059E+02
16277.8333,3.6912E+02
16278.0000,3.6564E+02
16278.1667,3.3509E+02
16278.3333,3.4146E+02
16278.5000,3.5082E+02
16278.6667,3.5947E+02
16278.8333,3.4768E+02
16279.0000,3.4186E+02
16279.1667,3.6051E+02
16279.3333,3.8875E+02
16279.5000,4.0537E+02
16279.6667,3.7729E+02
16279.8333,3.7145E+02
16280.0000,3.6687E+02
16280.1667,3.6320E+02
16280.3333,3.6900E+02
16280.5000,3.8192E+02
16280.6667,3.8882E+02
16280.8333,3.7315E+02
16281.0000,3.6960E+02
16281.1667,3.4865E+02
16281.3333,3.5342E+02
16281.5000,3.5947E+02
16281.6667,3.6300E+02
16281.8333,3.6050E+02
16282.0000,3.6055E+02
16282.1667,3.4862E+02
16282.3333,3.5554E+02
16282.5000,3.6928E+02
16282.6667,3.7049E+02
16282.8333,3.5361E+02
16283.0000,3.4006E+02
16283.1667,3.4896E+02
16283.3333,3.6528E+02
16283.5000,3.9102E+02
16283.6667,3.9376E+02
16283.8333,3.7390E+02
16284.0000,3.6267E+02
16284.1667,3.6376E+02
16284.3333,3.7414E+02
16284.5000,3.8825E+02
16284.6667,3.9091E+02
16284.8333,3.5996E+02
16285.0000,3.6103E+02
16285.1667,3.3957E+02
16285.3333,3.5849E+02
16285.5000,3.5638E+02
16285.6667,3.5981E+02
16285.8333,3.4653E+02
16286.0000,3.3565E+02
16286.1667,3.4887E+02
16286.3333,3.7530E+02
16286.5000,3.9081E+02
16286.6667,3.7915E+02
16286.8333,3.6776E+02
16287.0000,3.6309E+02
16287.1667,3.3630E+02
16287.3333,3.4532E+02
16287.5000,3.5316E+02
16287.6667,3.6032E+02
16287.8333,3.3802E+02
16288.0000,3.2581E+02
16288.1667,3.4392E+02
16288.3333,3.6875E+02
16288.5000,3.9243E+02
16288.6667,3.9007E+02
16288.8333,3.7521E+02
16289.0000,3.6971E+02
16289.1667,3.2861E+02
16289.3333,3.3837E+02
16289.5000,3.5216E+02
16289.6667,3.3934E+02
16289.8333,3.3138E+02
16290.0000,3.2779E+02
16290.1667,3.4475E+02
16290.3333,3.6162E+02
16290.5000,3.8244E+02
16290.6667,3.8861E+02
16290.8333,3.6484E+02
16291.0000,3.4991E+02
16291.1667,3.5903E+02
16291.3333,3.6870E+02
16291.5000,3.8276E+02
16291.6667,3.8943E+02
16291.8333,3.6779E+02
16292.0000,3.6683E+02
16292.1667,3.7927E+02
16292.3333,3.9362E+02
16292.5000,4.2565E+02
16292.6667,4.2533E+02
16292.8333,4.0096E+02
16293.0000,3.8688E+02
16293.1667,3.5651E+02
16293.3333,3.5087E+02
16293.5000,3.4334E+02
16293.6667,3.3807E+02
16293.8333,3.3367E+02
16294.0000,3.3029E+02
16294.1667,3.4427E+02
16294.3333,3.6278E+02
16294.5000,3.7656E+02
16294.6667,3.7651E+02
16294.8333,3.6482E+02
16295.0000,3.5611E+02
16295.1667,3.4242E+02
16295.3333,3.4538E+02
16295.5000,3.5253E+02
16295.6667,3.5513E+02
16295.8333,3.3557E+02
16296.0000,3.3244E+02
16296.1667,3.4450E+02
16296.3333,3.5770E+02
16296.5000,3.7326E+02
16296.6667,3.7062E+02
16296.8333,3.5328E+02
16297.0000,3.4141E+02
16297.1667,3.3964E+02
16297.3333,3.4056E+02
16297.5000,3.5186E+02
16297.6667,3.4566E+02
16297.8333,3.4007E+02
16298.0000,3.4012E+02
16298.1667,2.9446E+02
16298.3333,2.9874E+02
16298.5000,3.1021E+02
16298.6667,3.0914E+02
16298.8333,2.9557E+02
16299.0000,2.8293E+02
16299.1667,2.8792E+02
16299.3333,3.1272E+02
16299.5000,3.4341E+02
16299.6667,3.3585E+02
16299.8333,3.1789E+02
